Corsa;1;Chevrolet
Celta;1;Chevrolet
Prisma;1;Chevrolet
Siena;2;FIAT
Strada;2;FIAT
Uno;2;FIAT
Palio;2;FIAT
Gol;3;Volkswagen
Fusca;3;Volkswagen
Saveiro;3;Volkswagen
KA;4;Ford
Fiesta;4;Ford
Sandero;5;Renault
Duster;5;Renault
HB20;6;Hyundai
Corolla;7;Toyota
Etios;7;Toyota
Civic;8;Honda
March;9;Nissan
